"Make","Model","Price","Mileage"
"FORD","FIESTA",7295,27000
"FORD","FIESTA",6900,9946
"FORD","FIESTA",7532,4091
"FORD","FIESTA",8247,8152
"FORD","FIESTA",7500,9065
"FORD","FIESTA",7295,22911
"FORD","FIESTA",7999,11199
"FORD","FIESTA",7445,21966
"FORD","FIESTA",7995,12134
"FORD","FIESTA",8400,21263
"FORD","FIESTA",7769,6150
"FORD","FIESTA",6000,62100
"FORD","FIESTA",7901,14275
"FORD","FIESTA",6995,21864
"FORD","FIESTA",6990,6000
"FORD","FIESTA",6950,16608
"FORD","FIESTA",6350,16837
"FORD","FIESTA",6728,17227
"FORD","FIESTA",7199,18326
"FORD","FIESTA",6690,11200
"FORD","FIESTA",7875,4037
"FORD","FIESTA",7058,12611
"FORD","FIESTA",7500,9859
"FORD","FIESTA",6599,40816
"FORD","FIESTA",8599,5863
"FORD","FIESTA",7095,12629
"FORD","FIESTA",8995,5865
"FORD","FIESTA",7991,17779
"FORD","FIESTA",9200,2660
"FORD","FIESTA",6990,14731
"FORD","FIESTA",7995,15243
"FORD","FIESTA",8995,8487
"FORD","FIESTA",8700,6163
"FORD","FIESTA",8495,6000
"FORD","FIESTA",9000,4833
"FORD","FIESTA",6800,25722
"FORD","FIESTA",8900,4208
"FORD","FIESTA",9000,7296
"FORD","FIESTA",6998,32889
"FORD","FIESTA",6995,9856
"FORD","FIESTA",8200,11250
"FORD","FIESTA",7795,8826
"FORD","FIESTA",7200,12836
"FORD","FIESTA",7000,13925
"FORD","FIESTA",6495,42518
"FORD","FIESTA",6945,30245
"FORD","FIESTA",6495,52800
"FORD","FIESTA",6995,15845
"FORD","FIESTA",7495,8200
"FORD","FIESTA",7481,14863
"FORD","FIESTA",7591,12226
"FORD","FIESTA",7000,15339
"FORD","FIESTA",7900,3461
"FORD","FIESTA",5999,25000
"FORD","FIESTA",8200,11856
"FORD","FIESTA",6500,30269
"FORD","FIESTA",7000,19000
"FORD","FIESTA",7797,12213
"FORD","FIESTA",7970,14316
"FORD","FIESTA",10000,8000
"FORD","FIESTA",7495,24000
"FORD","FIESTA",8000,3995
"FORD","FIESTA",6882,20934
"FORD","FIESTA",9000,6741
"FORD","FIESTA",6898,26397
"FORD","FIESTA",8475,9606
"FORD","FIESTA",8000,10341
"FORD","FIESTA",8795,1948
"FORD","FIESTA",6799,29214
"FORD","FIESTA",10295,10
"FORD","FIESTA",7500,7716
"FORD","FIESTA",7600,17957
"FORD","FIESTA",6995,15593
"FORD","FIESTA",7995,3000
"FORD","FIESTA",6500,17000
"FORD","FIESTA",8290,14314
"FORD","FIESTA",6689,33953
"FORD","FIESTA",7299,13082
"FORD","FIESTA",8760,5002
"FORD","FIESTA",7500,13373
"FORD","FIESTA",7485,17037
"FORD","FIESTA",5995,40517
"FORD","FIESTA",6795,28750
"FORD","FIESTA",8500,8318
"FORD","FIESTA",8250,2400
"FORD","FIESTA",7799,10366
"FORD","FIESTA",8495,6524
"FORD","FIESTA",6750,22166
"FORD","FIESTA",7800,16217
"FORD","FIESTA",9229,3722
"FORD","FIESTA",7000,20123
"FORD","FIESTA",7295,13934
"FORD","FIESTA",6680,12177
"FORD","FIESTA",5895,36844
"FORD","FIESTA",6960,12864
"FORD","FIESTA",9500,2324
"FORD","FIESTA",8500,5998
"FORD","FIESTA",6900,30992
"FORD","FIESTA",6990,35700
"FORD","FIESTA",6781,16334
"FORD","FIESTA",7900,8000
"FORD","FIESTA",6690,11283
"FORD","FIESTA",7190,22482
"FORD","FIESTA",7850,12700
"FORD","FIESTA",8500,5471
"FORD","FIESTA",8622,9832
"FORD","FIESTA",6941,19749
"FORD","FIESTA",7500,38488
"FORD","FIESTA",9695,2463
"FORD","FIESTA",8495,10845
"FORD","FIESTA",8481,4997
"FORD","FIESTA",7790,16928
"FORD","FIESTA",9000,4702
"FORD","FIESTA",5895,34000
"FORD","FIESTA",8860,3140
"FORD","FIESTA",7300,23522
"FORD","FIESTA",7924,6460
"FORD","FIESTA",7250,12892
"FORD","FIESTA",8500,7809
"FORD","FIESTA",7295,32712
"FORD","FIESTA",7999,8687
"FORD","FIESTA",9470,8000
"FORD","FIESTA",6995,18000
"FORD","FIESTA",7528,7547
"FORD","FIESTA",9300,12029
"FORD","FIESTA",6500,37410
"FORD","FIESTA",6000,30898
"FORD","FIESTA",7300,23591
"FORD","FIESTA",7995,11152
"FORD","FIESTA",7500,9115
"FORD","FIESTA",7000,13262
"FORD","FIESTA",7999,10014
"FORD","FIESTA",8399,560
"FORD","FIESTA",6500,44200
"FORD","FIESTA",8400,9142
"FORD","FIESTA",7619,28509
"FORD","FIESTA",7690,10693
"FORD","FIESTA",7870,2801
"FORD","FIESTA",7700,13794
"FORD","FIESTA",6522,21264
"FORD","FIESTA",8700,6579
"FORD","FIESTA",6995,14748
"FORD","FIESTA",8000,18406
"FORD","FIESTA",6398,29698
"FORD","FIESTA",6299,35358
"FORD","FIESTA",7064,28701
"FORD","FIESTA",7991,3725
